antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'04:30:00'}),frozenset({'channel_11'}),1.0,0.75,0.75,0.75,1.0,0.0,1.0
frozenset({'04:30:00'}),frozenset({'channel_14'}),1.0,0.288135593220339,0.288135593220339,0.288135593220339,1.0,0.0,1.0
frozenset({'04:30:00'}),frozenset({'channel_18'}),1.0,0.09745762711864407,0.09745762711864407,0.09745762711864407,1.0,0.0,1.0
frozenset({'04:30:00'}),frozenset({'channel_3'}),1.0,0.9915254237288136,0.9915254237288136,0.9915254237288136,1.0,0.0,1.0
frozenset({'04:30:00'}),frozenset({'channel_4'}),1.0,0.8177966101694916,0.8177966101694916,0.8177966101694916,1.0,0.0,1.0
frozenset({'04:30:00'}),frozenset({'channel_5'}),1.0,0.15677966101694915,0.15677966101694915,0.15677966101694915,1.0,0.0,1.0
frozenset({'04:30:00'}),frozenset({'channel_6'}),1.0,0.2288135593220339,0.2288135593220339,0.2288135593220339,1.0,0.0,1.0
frozenset({'04:30:00'}),frozenset({'channel_7'}),1.0,0.13135593220338984,0.13135593220338984,0.13135593220338984,1.0,0.0,1.0
frozenset({'04:30:00'}),frozenset({'channel_8'}),1.0,0.9957627118644068,0.9957627118644068,0.9957627118644068,1.0,0.0,1.0
frozenset({'04:30:00'}),"frozenset({'channel_14', 'channel_11'})",1.0,0.288135593220339,0.288135593220339,0.288135593220339,1.0,0.0,1.0
frozenset({'04:30:00'}),"frozenset({'channel_18', 'channel_11'})",1.0,0.09745762711864407,0.09745762711864407,0.09745762711864407,1.0,0.0,1.0
frozenset({'04:30:00'}),"frozenset({'channel_3', 'channel_11'})",1.0,0.75,0.75,0.75,1.0,0.0,1.0
frozenset({'04:30:00'}),"frozenset({'channel_11', 'channel_4'})",1.0,0.6313559322033898,0.6313559322033898,0.6313559322033898,1.0,0.0,1.0
frozenset({'04:30:00'}),"frozenset({'channel_11', 'channel_7'})",1.0,0.13135593220338984,0.13135593220338984,0.13135593220338984,1.0,0.0,1.0
frozenset({'04:30:00'}),"frozenset({'channel_11', 'channel_8'})",1.0,0.75,0.75,0.75,1.0,0.0,1.0
frozenset({'04:30:00'}),"frozenset({'channel_14', 'channel_18'})",1.0,0.09745762711864407,0.09745762711864407,0.09745762711864407,1.0,0.0,1.0
frozenset({'04:30:00'}),"frozenset({'channel_3', 'channel_14'})",1.0,0.288135593220339,0.288135593220339,0.288135593220339,1.0,0.0,1.0
