,support,itemsets
0,0.01551921674825539,frozenset({'00:00:00 channel_10'})
1,0.020831163420477035,frozenset({'00:00:00 channel_4'})
2,0.020831163420477035,frozenset({'00:00:00 channel_5'})
3,0.020831163420477035,frozenset({'00:00:00 channel_6'})
4,0.01551921674825539,frozenset({'00:00:00 channel_8'})
5,0.01551921674825539,frozenset({'00:00:00 channel_9'})
6,0.01551921674825539,frozenset({'00:30:00 channel_10'})
7,0.020831163420477035,frozenset({'00:30:00 channel_4'})
8,0.020831163420477035,frozenset({'00:30:00 channel_5'})
9,0.020831163420477035,frozenset({'00:30:00 channel_6'})
10,0.01551921674825539,frozenset({'00:30:00 channel_8'})
11,0.015415060931153005,frozenset({'00:30:00 channel_9'})
12,0.01551921674825539,frozenset({'01:00:00 channel_10'})
13,0.020831163420477035,frozenset({'01:00:00 channel_4'})
14,0.020831163420477035,frozenset({'01:00:00 channel_5'})
15,0.020831163420477035,frozenset({'01:00:00 channel_6'})
16,0.01551921674825539,frozenset({'01:00:00 channel_8'})
17,0.015415060931153005,frozenset({'01:00:00 channel_9'})
18,0.01551921674825539,frozenset({'01:30:00 channel_10'})
19,0.020831163420477035,frozenset({'01:30:00 channel_4'})
20,0.020831163420477035,frozenset({'01:30:00 channel_5'})
21,0.020831163420477035,frozenset({'01:30:00 channel_6'})
22,0.01551921674825539,frozenset({'01:30:00 channel_8'})
23,0.015415060931153005,frozenset({'01:30:00 channel_9'})
24,0.015415060931153005,frozenset({'02:00:00 channel_10'})
25,0.020831163420477035,frozenset({'02:00:00 channel_4'})
26,0.020831163420477035,frozenset({'02:00:00 channel_5'})
27,0.020831163420477035,frozenset({'02:00:00 channel_6'})
28,0.01551921674825539,frozenset({'02:00:00 channel_8'})
29,0.015415060931153005,frozenset({'02:00:00 channel_9'})
30,0.01551921674825539,frozenset({'02:30:00 channel_10'})
31,0.020831163420477035,frozenset({'02:30:00 channel_4'})
32,0.020831163420477035,frozenset({'02:30:00 channel_5'})
33,0.020831163420477035,frozenset({'02:30:00 channel_6'})
34,0.01551921674825539,frozenset({'02:30:00 channel_8'})
35,0.015415060931153005,frozenset({'02:30:00 channel_9'})
36,0.01551921674825539,frozenset({'03:00:00 channel_10'})
37,0.020831163420477035,frozenset({'03:00:00 channel_4'})
38,0.020831163420477035,frozenset({'03:00:00 channel_5'})
39,0.020831163420477035,frozenset({'03:00:00 channel_6'})
40,0.01551921674825539,frozenset({'03:00:00 channel_8'})
41,0.015415060931153005,frozenset({'03:00:00 channel_9'})
42,0.01551921674825539,frozenset({'03:30:00 channel_10'})
43,0.020831163420477035,frozenset({'03:30:00 channel_4'})
44,0.020831163420477035,frozenset({'03:30:00 channel_5'})
45,0.020831163420477035,frozenset({'03:30:00 channel_6'})
46,0.01551921674825539,frozenset({'03:30:00 channel_8'})
47,0.015415060931153005,frozenset({'03:30:00 channel_9'})
48,0.01551921674825539,frozenset({'04:00:00 channel_10'})
49,0.020831163420477035,frozenset({'04:00:00 channel_4'})
50,0.020831163420477035,frozenset({'04:00:00 channel_5'})
51,0.020831163420477035,frozenset({'04:00:00 channel_6'})
52,0.01551921674825539,frozenset({'04:00:00 channel_8'})
53,0.01551921674825539,frozenset({'04:00:00 channel_9'})
54,0.01551921674825539,frozenset({'04:30:00 channel_10'})
55,0.020831163420477035,frozenset({'04:30:00 channel_4'})
56,0.020831163420477035,frozenset({'04:30:00 channel_5'})
57,0.020831163420477035,frozenset({'04:30:00 channel_6'})
58,0.01551921674825539,frozenset({'04:30:00 channel_8'})
59,0.015415060931153005,frozenset({'04:30:00 channel_9'})
60,0.01551921674825539,frozenset({'05:00:00 channel_10'})
61,0.020831163420477035,frozenset({'05:00:00 channel_4'})
62,0.020831163420477035,frozenset({'05:00:00 channel_5'})
63,0.020831163420477035,frozenset({'05:00:00 channel_6'})
64,0.01551921674825539,frozenset({'05:00:00 channel_8'})
65,0.015415060931153005,frozenset({'05:00:00 channel_9'})
66,0.01551921674825539,frozenset({'05:30:00 channel_10'})
67,0.020831163420477035,frozenset({'05:30:00 channel_4'})
68,0.020831163420477035,frozenset({'05:30:00 channel_5'})
69,0.020831163420477035,frozenset({'05:30:00 channel_6'})
70,0.01551921674825539,frozenset({'05:30:00 channel_8'})
71,0.015415060931153005,frozenset({'05:30:00 channel_9'})
72,0.01551921674825539,frozenset({'06:00:00 channel_10'})
73,0.020831163420477035,frozenset({'06:00:00 channel_4'})
74,0.020831163420477035,frozenset({'06:00:00 channel_5'})
75,0.020831163420477035,frozenset({'06:00:00 channel_6'})
76,0.01551921674825539,frozenset({'06:00:00 channel_8'})
77,0.015415060931153005,frozenset({'06:00:00 channel_9'})
78,0.015415060931153005,frozenset({'06:30:00 channel_10'})
79,0.012602853869388605,frozenset({'06:30:00 channel_12'})
80,0.012602853869388605,frozenset({'06:30:00 channel_14'})
81,0.012602853869388605,frozenset({'06:30:00 channel_17'})
82,0.012602853869388605,frozenset({'06:30:00 channel_18'})
83,0.02093531923757942,frozenset({'06:30:00 channel_4'})
84,0.02093531923757942,frozenset({'06:30:00 channel_5'})
85,0.02093531923757942,frozenset({'06:30:00 channel_6'})
86,0.015623372565357774,frozenset({'06:30:00 channel_8'})
87,0.01531090511405062,frozenset({'06:30:00 channel_9'})
88,0.01551921674825539,frozenset({'07:00:00 channel_10'})
89,0.012602853869388605,frozenset({'07:00:00 channel_14'})
