Time,Recommendations
00:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_10', 'channel_8', 'channel_9'], ['channel_17', 'channel_18', 'channel_12', 'channel_14'], ['channel_13'], ['channel_7']]"
00:30:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_14', 'channel_12', 'channel_18', 'channel_17'], ['channel_13']]"
01:00:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_10', 'channel_8'], ['channel_9'], ['channel_12', 'channel_14', 'channel_17', 'channel_18'], ['channel_13']]"
01:30:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_17', 'channel_18', 'channel_12', 'channel_14'], ['channel_13']]"
02:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_8'], ['channel_9', 'channel_10'], ['channel_18', 'channel_17', 'channel_14', 'channel_12'], ['channel_13']]"
02:30:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_12', 'channel_14', 'channel_17', 'channel_18'], ['channel_13']]"
03:00:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_14', 'channel_12', 'channel_18', 'channel_17'], ['channel_13']]"
03:30:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_10', 'channel_8'], ['channel_9'], ['channel_14', 'channel_12', 'channel_18', 'channel_17'], ['channel_13']]"
04:00:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_10', 'channel_9', 'channel_8'], ['channel_18', 'channel_17', 'channel_14', 'channel_12'], ['channel_13'], ['channel_7']]"
04:30:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_10', 'channel_8'], ['channel_9'], ['channel_18', 'channel_17', 'channel_14', 'channel_12'], ['channel_13']]"
05:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_10', 'channel_8'], ['channel_9'], ['channel_12', 'channel_14', 'channel_17', 'channel_18'], ['channel_13']]"
05:30:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_14', 'channel_12', 'channel_18', 'channel_17'], ['channel_13']]"
06:00:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_17', 'channel_18', 'channel_12', 'channel_14'], ['channel_13']]"
06:30:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_8'], ['channel_10'], ['channel_9'], ['channel_17', 'channel_18', 'channel_12', 'channel_14']]"
07:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_14', 'channel_18'], ['channel_12', 'channel_17']]"
07:30:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_10', 'channel_8', 'channel_9'], ['channel_12', 'channel_14', 'channel_17', 'channel_18'], ['channel_13'], ['channel_7']]"
08:00:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_10', 'channel_9', 'channel_8'], ['channel_18', 'channel_17', 'channel_14', 'channel_12'], ['channel_13'], ['channel_7']]"
08:30:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_10', 'channel_9', 'channel_8'], ['channel_18', 'channel_17', 'channel_14', 'channel_12'], ['channel_13'], ['channel_7']]"
09:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_10', 'channel_8', 'channel_9'], ['channel_14', 'channel_12', 'channel_18', 'channel_17'], ['channel_13'], ['channel_7', 'channel_2']]"
09:30:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_10', 'channel_8'], ['channel_9'], ['channel_17', 'channel_18', 'channel_12', 'channel_14'], ['channel_13']]"
10:00:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_2'], ['channel_17', 'channel_18', 'channel_12', 'channel_14']]"
10:30:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_10', 'channel_9', 'channel_8'], ['channel_2'], ['channel_17', 'channel_18', 'channel_12', 'channel_14'], ['channel_13']]"
11:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_10', 'channel_8', 'channel_9'], ['channel_2'], ['channel_14', 'channel_12', 'channel_18', 'channel_17'], ['channel_13']]"
11:30:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_10', 'channel_8'], ['channel_9'], ['channel_2'], ['channel_12', 'channel_14', 'channel_17', 'channel_18']]"
12:00:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_10', 'channel_8', 'channel_9'], ['channel_2'], ['channel_18', 'channel_17', 'channel_14', 'channel_13', 'channel_12'], ['channel_3']]"
12:30:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_8', 'channel_9'], ['channel_10'], ['channel_2'], ['channel_18', 'channel_17', 'channel_14', 'channel_13', 'channel_12']]"
13:00:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_9', 'channel_8'], ['channel_10'], ['channel_2'], ['channel_14', 'channel_18']]"
13:30:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_8', 'channel_9'], ['channel_10'], ['channel_2'], ['channel_14', 'channel_12', 'channel_18', 'channel_17']]"
14:00:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_9', 'channel_8', 'channel_10'], ['channel_2'], ['channel_17', 'channel_18', 'channel_13', 'channel_12', 'channel_14'], ['channel_3']]"
14:30:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_9', 'channel_8'], ['channel_10'], ['channel_2'], ['channel_18', 'channel_17', 'channel_14', 'channel_12', 'channel_13']]"
15:00:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_8', 'channel_9'], ['channel_10'], ['channel_2'], ['channel_12', 'channel_14', 'channel_17', 'channel_18']]"
15:30:00,"[['channel_5', 'channel_4'], ['channel_6'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_2']]"
16:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_8'], ['channel_9', 'channel_10'], ['channel_2'], ['channel_3']]"
16:30:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_8'], ['channel_10', 'channel_9'], ['channel_2'], ['channel_3']]"
17:00:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_2'], ['channel_9', 'channel_8'], ['channel_10'], ['channel_3']]"
17:30:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_2'], ['channel_10', 'channel_8'], ['channel_9'], ['channel_3']]"
18:00:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_2'], ['channel_10', 'channel_9', 'channel_8'], ['channel_3'], ['channel_18', 'channel_17', 'channel_14', 'channel_12', 'channel_13']]"
18:30:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_2'], ['channel_9', 'channel_8', 'channel_10'], ['channel_3'], ['channel_18', 'channel_17', 'channel_14', 'channel_12']]"
19:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_2'], ['channel_10', 'channel_8', 'channel_9'], ['channel_3'], ['channel_12', 'channel_14', 'channel_17', 'channel_18']]"
19:30:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_2'], ['channel_9', 'channel_8', 'channel_10'], ['channel_3'], ['channel_14', 'channel_12', 'channel_18', 'channel_17']]"
20:00:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_2'], ['channel_10', 'channel_8', 'channel_9'], ['channel_3'], ['channel_18', 'channel_12', 'channel_14']]"
20:30:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_2'], ['channel_8', 'channel_9', 'channel_10'], ['channel_3'], ['channel_18', 'channel_12', 'channel_14']]"
21:00:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_2'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_3']]"
21:30:00,"[['channel_4', 'channel_5', 'channel_6'], ['channel_2'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_3']]"
22:00:00,"[['channel_5', 'channel_4', 'channel_6'], ['channel_2'], ['channel_10'], ['channel_8'], ['channel_9']]"
22:30:00,"[['channel_6', 'channel_4', 'channel_5'], ['channel_10', 'channel_8'], ['channel_9'], ['channel_2'], ['channel_17', 'channel_18', 'channel_12', 'channel_14']]"
23:00:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_18', 'channel_17', 'channel_14', 'channel_12'], ['channel_13']]"
23:30:00,"[['channel_6', 'channel_5', 'channel_4'], ['channel_8', 'channel_10'], ['channel_9'], ['channel_14', 'channel_12', 'channel_18', 'channel_17'], ['channel_13']]"
