,Time,Recommendations
0,00:00:00,"Computer monitor,Fridge,Running machine,Laptop computer.1,Laptop computer,Broadband router,Games console,Computer,External hard disk,Rice cooker,Cooker,Modem"
1,00:30:00,"Computer monitor,Fridge,Running machine,Laptop computer.1,Laptop computer,Computer,Cooker,Broadband router,Modem,External hard disk,Games console,Rice cooker,Active speaker"
2,01:00:00,"Computer monitor,Running machine,Laptop computer.1,Fridge,Laptop computer,Computer,Rice cooker,Modem,Cooker,Broadband router,Active speaker,External hard disk,Games console"
3,01:30:00,"Computer monitor,Laptop computer.1,Running machine,Fridge,Laptop computer,Computer,Rice cooker,Cooker,Modem,Active speaker,External hard disk,Broadband router"
4,02:00:00,"Laptop computer.1,Computer monitor,Running machine,Fridge,Laptop computer,Computer,Rice cooker,External hard disk,Cooker,Broadband router,Modem,Active speaker"
5,02:30:00,"Laptop computer.1,Running machine,Computer monitor,Fridge,Computer,Laptop computer,Rice cooker,Modem,Cooker,External hard disk,Active speaker,Broadband router"
6,03:00:00,"Laptop computer.1,Running machine,Computer monitor,Fridge,Computer,Laptop computer,External hard disk,Rice cooker,Cooker,Modem,Broadband router,Active speaker"
7,03:30:00,"Computer monitor,Running machine,Laptop computer.1,Fridge,Computer,Laptop computer,Cooker,Modem,Rice cooker,Broadband router,External hard disk,Active speaker"
8,04:00:00,"Computer monitor,Laptop computer.1,Running machine,Fridge,Laptop computer,Computer,Rice cooker,Cooker,Modem,External hard disk,Broadband router,Active speaker,Games console"
9,04:30:00,"Computer monitor,Running machine,Laptop computer.1,Fridge,Laptop computer,Computer,Cooker,Rice cooker,Modem,External hard disk,Broadband router,Active speaker,Games console"
10,05:00:00,"Fridge,Running machine,Computer monitor,Laptop computer.1,Computer,Laptop computer,Rice cooker,Cooker,External hard disk,Broadband router,Modem,Active speaker,Games console"
11,05:30:00,"Laptop computer.1,Computer monitor,Running machine,Fridge,Laptop computer,Computer,External hard disk,Rice cooker,Broadband router,Cooker,Games console,Modem,Active speaker"
12,06:00:00,"Laptop computer.1,Running machine,Computer monitor,Fridge,Laptop computer,Games console,External hard disk,Broadband router,Computer,Cooker,Modem,Rice cooker"
13,06:30:00,"Laptop computer.1,Fridge,Computer monitor,Broadband router,Games console,Running machine,External hard disk,Laptop computer,Cooker,Modem,Computer,Rice cooker"
14,07:00:00,"Computer monitor,Broadband router,Games console,External hard disk,Laptop computer.1,Fridge,Laptop computer,Running machine,Cooker,Modem,Computer,Rice cooker"
15,07:30:00,"Broadband router,Computer monitor,External hard disk,Games console,Laptop computer.1,Fridge,Laptop computer,Cooker,Modem,Running machine,Computer"
16,08:00:00,"Computer monitor,Broadband router,External hard disk,Laptop computer,Laptop computer.1,Fridge,Games console,Cooker,Modem,Running machine,Computer"
17,08:30:00,"Broadband router,Computer monitor,Laptop computer,External hard disk,Games console,Cooker,Modem,Laptop computer.1,Fridge,Running machine,Computer"
18,09:00:00,"Broadband router,Computer monitor,Cooker,External hard disk,Modem,Games console,Laptop computer,Laptop computer.1,Fridge,Running machine,Computer"
19,09:30:00,"Broadband router,Computer monitor,Cooker,Laptop computer,Modem,External hard disk,Fridge,Games console,Laptop computer.1,Running machine,Computer"
20,10:00:00,"Broadband router,Computer monitor,Cooker,Modem,External hard disk,Laptop computer,Games console,Laptop computer.1,Fridge,Running machine"
21,10:30:00,"Broadband router,Computer monitor,Cooker,External hard disk,Laptop computer,Modem,Laptop computer.1,Games console,Fridge,Running machine"
22,11:00:00,"Broadband router,Computer monitor,Cooker,External hard disk,Modem,Laptop computer,Laptop computer.1,Games console,Fridge,Running machine"
23,11:30:00,"Computer monitor,Broadband router,Cooker,Modem,External hard disk,Laptop computer,Fridge,Games console,Laptop computer.1,Running machine"
24,12:00:00,"Computer monitor,Broadband router,Cooker,External hard disk,Laptop computer,Modem,Games console,Fridge,Laptop computer.1"
25,12:30:00,"Computer monitor,Broadband router,Laptop computer,Fridge,External hard disk,Cooker,Games console,Modem,Laptop computer.1,Running machine"
26,13:00:00,"Computer monitor,Broadband router,Cooker,External hard disk,Modem,Laptop computer.1,Laptop computer,Fridge,Games console,Running machine"
27,13:30:00,"Computer monitor,Broadband router,Laptop computer.1,External hard disk,Cooker,Laptop computer,Modem,Fridge,Games console,Running machine,Computer,Rice cooker"
28,14:00:00,"Computer monitor,Broadband router,External hard disk,Cooker,Laptop computer,Modem,Games console,Laptop computer.1,Fridge,Running machine,Computer"
29,14:30:00,"Computer monitor,Broadband router,Cooker,Laptop computer,Laptop computer.1,External hard disk,Modem,Games console,Fridge,Running machine,Computer"
30,15:00:00,"Computer monitor,Broadband router,Laptop computer,Laptop computer.1,External hard disk,Modem,Cooker,Games console,Fridge,Running machine,Computer,Rice cooker"
31,15:30:00,"Computer monitor,Broadband router,Laptop computer.1,External hard disk,Cooker,Modem,Laptop computer,Games console,Running machine,Fridge,Computer,Rice cooker"
32,16:00:00,"Computer monitor,Broadband router,Laptop computer.1,Laptop computer,Fridge,External hard disk,Running machine,Games console,Cooker,Modem,Computer,Rice cooker"
33,16:30:00,"Computer monitor,Laptop computer.1,Broadband router,Laptop computer,Running machine,Fridge,External hard disk,Games console,Cooker,Modem,Computer,Rice cooker"
34,17:00:00,"Computer monitor,Laptop computer.1,Broadband router,Laptop computer,Running machine,Fridge,Cooker,Games console,External hard disk,Modem,Computer,Rice cooker"
35,17:30:00,"Computer monitor,Laptop computer.1,Broadband router,Running machine,Fridge,External hard disk,Laptop computer,Games console,Cooker,Modem,Computer,Rice cooker"
36,18:00:00,"Computer monitor,Running machine,Fridge,Laptop computer.1,Broadband router,Laptop computer,Games console,External hard disk,Cooker,Modem,Computer,Rice cooker"
37,18:30:00,"Computer monitor,Laptop computer.1,Laptop computer,Fridge,Running machine,Broadband router,Games console,Cooker,External hard disk,Modem,Computer,Rice cooker"
38,19:00:00,"Computer monitor,Laptop computer.1,Running machine,Broadband router,Fridge,External hard disk,Laptop computer,Games console,Cooker,Modem,Computer,Rice cooker"
39,19:30:00,"Computer monitor,Laptop computer.1,Running machine,Broadband router,Fridge,Laptop computer,Games console,External hard disk,Cooker,Modem,Computer,Rice cooker"
40,20:00:00,"Computer monitor,Laptop computer.1,Running machine,Laptop computer,Broadband router,Fridge,External hard disk,Games console,Cooker,Modem,Computer,Rice cooker"
41,20:30:00,"Computer monitor,Running machine,Laptop computer.1,Laptop computer,Broadband router,Fridge,External hard disk,Games console,Cooker,Modem,Computer,Rice cooker"
42,21:00:00,"Computer monitor,Laptop computer.1,Fridge,Laptop computer,Running machine,Broadband router,External hard disk,Games console,Cooker,Modem,Computer,Rice cooker"
43,21:30:00,"Computer monitor,Laptop computer.1,Broadband router,Fridge,External hard disk,Games console,Running machine,Laptop computer,Modem,Cooker,Computer,Rice cooker"
44,22:00:00,"Computer monitor,Laptop computer.1,Running machine,Laptop computer,Broadband router,Fridge,Games console,External hard disk,Cooker,Modem,Computer,Rice cooker"
45,22:30:00,"Computer monitor,Laptop computer.1,Running machine,Broadband router,Fridge,Laptop computer,Games console,External hard disk,Cooker,Modem,Computer,Rice cooker"
46,23:00:00,"Computer monitor,Laptop computer.1,Running machine,Laptop computer,Broadband router,Fridge,External hard disk,Games console,Cooker,Modem,Computer,Rice cooker"
47,23:30:00,"Computer monitor,Laptop computer.1,Fridge,Running machine,Laptop computer,Broadband router,External hard disk,Games console,Cooker,Computer,Modem,Rice cooker"
