Time,Recommendations
00:00:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_6'], ['channel_14'], ['channel_2'], ['channel_5'], ['channel_7'], ['channel_18']]"
00:30:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_2'], ['channel_5'], ['channel_7'], ['channel_18']]"
01:00:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_18']]"
01:30:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_6'], ['channel_14'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_18']]"
02:00:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_2']]"
02:30:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_2']]"
03:00:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_2']]"
03:30:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_2']]"
04:00:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18']]"
04:30:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18']]"
05:00:00,"[['channel_3'], ['channel_8'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_2']]"
05:30:00,"[['channel_3'], ['channel_8'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_2']]"
06:00:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_2']]"
06:30:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_2'], ['channel_7'], ['channel_18']]"
07:00:00,"[['channel_8'], ['channel_3'], ['channel_4'], ['channel_11'], ['channel_14'], ['channel_6'], ['channel_2'], ['channel_5'], ['channel_7'], ['channel_18']]"
07:30:00,"[['channel_8'], ['channel_4'], ['channel_3'], ['channel_11'], ['channel_2'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_15']]"
08:00:00,"[['channel_8'], ['channel_4'], ['channel_3'], ['channel_11'], ['channel_2'], ['channel_6'], ['channel_14'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_12']]"
08:30:00,"[['channel_8'], ['channel_4'], ['channel_3'], ['channel_11'], ['channel_2'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_12']]"
09:00:00,"[['channel_8'], ['channel_4'], ['channel_3'], ['channel_11'], ['channel_2'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_12']]"
09:30:00,"[['channel_8'], ['channel_4'], ['channel_11'], ['channel_3'], ['channel_2'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_12']]"
10:00:00,"[['channel_8'], ['channel_11'], ['channel_4'], ['channel_3'], ['channel_2'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_18'], ['channel_12']]"
