Time,Recommendations
00:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_2'], ['channel_3'], ['channel_5'], ['channel_7']]"
00:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_2'], ['channel_5'], ['channel_3'], ['channel_7']]"
01:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
01:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
02:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
02:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
03:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
03:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2']]"
04:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2']]"
04:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2']]"
05:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_8'], ['channel_3']]"
05:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_8'], ['channel_3'], ['channel_15']]"
06:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_3'], ['channel_2'], ['channel_8']]"
06:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_2'], ['channel_3'], ['channel_7'], ['channel_8'], ['channel_11']]"
07:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_2'], ['channel_3'], ['channel_5'], ['channel_7'], ['channel_8'], ['channel_11']]"
07:30:00,"[['channel_18'], ['channel_14'], ['channel_2'], ['channel_3'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_8'], ['channel_11'], ['channel_15'], ['channel_12']]"
08:00:00,"[['channel_18'], ['channel_14'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_12']]"
08:30:00,"[['channel_18'], ['channel_14'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_12']]"
09:00:00,"[['channel_18'], ['channel_14'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_12']]"
09:30:00,"[['channel_18'], ['channel_14'], ['channel_3'], ['channel_2'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_12'], ['channel_13']]"
10:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_14'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_12'], ['channel_15']]"
10:30:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_15'], ['channel_12']]"
11:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_15'], ['channel_12']]"
11:30:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_15'], ['channel_8'], ['channel_12'], ['channel_16']]"
12:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_15'], ['channel_12']]"
12:30:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_15'], ['channel_12']]"
13:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_15']]"
13:30:00,"[['channel_18'], ['channel_2'], ['channel_4'], ['channel_3'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_11'], ['channel_7'], ['channel_8'], ['channel_15'], ['channel_13']]"
14:00:00,"[['channel_18'], ['channel_2'], ['channel_4'], ['channel_3'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_10']]"
14:30:00,"[['channel_18'], ['channel_2'], ['channel_4'], ['channel_3'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8'], ['channel_10']]"
