,Time,Recommendations
0,00:00:00,"channel_5,channel_2"
1,00:30:00,channel_5
2,01:00:00,channel_5
3,01:30:00,channel_5
4,02:00:00,channel_5
5,02:30:00,channel_5
6,03:00:00,"channel_5,channel_4"
7,03:30:00,"channel_4,channel_5"
8,04:00:00,"channel_4,channel_5"
9,04:30:00,"channel_5,channel_4"
10,05:00:00,"channel_5,channel_4,channel_3"
11,05:30:00,"channel_5,channel_4,channel_3,channel_6"
12,06:00:00,"channel_4,channel_5,channel_3,channel_6"
13,06:30:00,"channel_4,channel_5,channel_3,channel_6"
14,07:00:00,"channel_5,channel_4,channel_3,channel_6"
15,07:30:00,"channel_5,channel_4,channel_3,channel_6"
16,08:00:00,"channel_5,channel_4,channel_3,channel_6"
17,08:30:00,"channel_5,channel_3,channel_4"
18,09:00:00,"channel_5,channel_3,channel_4"
19,09:30:00,"channel_5,channel_4,channel_3"
20,10:00:00,"channel_5,channel_4,channel_3"
21,10:30:00,"channel_5,channel_4,channel_3,channel_6"
22,11:00:00,"channel_5,channel_3,channel_4,channel_2,channel_6"
23,11:30:00,"channel_5,channel_4,channel_3"
24,12:00:00,"channel_5,channel_4,channel_3"
25,12:30:00,"channel_5,channel_4,channel_3,channel_6"
26,13:00:00,"channel_5,channel_4,channel_3,channel_2"
27,13:30:00,"channel_5,channel_4,channel_3,channel_2"
28,14:00:00,"channel_5,channel_4,channel_3,channel_2"
29,14:30:00,"channel_5,channel_4,channel_3,channel_2"
30,15:00:00,"channel_5,channel_4,channel_3,channel_2"
31,15:30:00,"channel_5,channel_4,channel_3,channel_2"
32,16:00:00,"channel_5,channel_4,channel_2,channel_3"
33,16:30:00,"channel_4,channel_5,channel_3,channel_2"
34,17:00:00,"channel_5,channel_4,channel_3,channel_2,channel_6"
35,17:30:00,"channel_5,channel_4,channel_2,channel_3"
36,18:00:00,"channel_5,channel_4,channel_2,channel_3"
37,18:30:00,"channel_5,channel_4,channel_2,channel_3,channel_6"
38,19:00:00,"channel_5,channel_4,channel_2,channel_3"
39,19:30:00,"channel_5,channel_4,channel_2,channel_3"
40,20:00:00,"channel_5,channel_4,channel_2,channel_3"
41,20:30:00,"channel_5,channel_4,channel_2,channel_3"
42,21:00:00,"channel_5,channel_2,channel_4,channel_3"
43,21:30:00,"channel_5,channel_4,channel_2,channel_3"
44,22:00:00,"channel_5,channel_2,channel_4,channel_3"
45,22:30:00,"channel_5,channel_4,channel_2,channel_3"
46,23:00:00,"channel_5,channel_4,channel_2,channel_3"
47,23:30:00,"channel_5,channel_4,channel_2"
