Time,Recommendations
00:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_2'], ['channel_3'], ['channel_5'], ['channel_7']]"
00:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_2'], ['channel_5'], ['channel_3'], ['channel_7']]"
01:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
01:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
02:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
02:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
03:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_3']]"
03:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2']]"
04:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2']]"
04:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2']]"
05:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_8'], ['channel_3']]"
05:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_2'], ['channel_8'], ['channel_3'], ['channel_15']]"
06:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_3'], ['channel_2'], ['channel_8']]"
06:30:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_2'], ['channel_3'], ['channel_7'], ['channel_8'], ['channel_11']]"
07:00:00,"[['channel_18'], ['channel_14'], ['channel_6'], ['channel_4'], ['channel_2'], ['channel_3'], ['channel_5'], ['channel_7'], ['channel_8'], ['channel_11']]"
07:30:00,"[['channel_18'], ['channel_14'], ['channel_2'], ['channel_3'], ['channel_6'], ['channel_4'], ['channel_5'], ['channel_7'], ['channel_8'], ['channel_11']]"
08:00:00,"[['channel_18'], ['channel_14'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
08:30:00,"[['channel_18'], ['channel_14'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
09:00:00,"[['channel_18'], ['channel_14'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
09:30:00,"[['channel_18'], ['channel_14'], ['channel_3'], ['channel_2'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
10:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_14'], ['channel_4'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
10:30:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
11:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
11:30:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_15']]"
12:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
12:30:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
13:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
13:30:00,"[['channel_18'], ['channel_2'], ['channel_4'], ['channel_3'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_11'], ['channel_7'], ['channel_8']]"
14:00:00,"[['channel_18'], ['channel_2'], ['channel_4'], ['channel_3'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
14:30:00,"[['channel_18'], ['channel_2'], ['channel_4'], ['channel_3'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
15:00:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
15:30:00,"[['channel_18'], ['channel_2'], ['channel_3'], ['channel_4'], ['channel_14'], ['channel_6'], ['channel_5'], ['channel_7'], ['channel_11'], ['channel_8']]"
