Time,Recommendations
00:00:00,"Modem,Fridge,Router,Speakers,Laptop,Monitor,Server,Server_hdd"
00:30:00,"Modem,Fridge,Router,Speakers,Laptop,Server,Monitor,Server_hdd"
01:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
01:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
02:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
02:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
03:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
03:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop"
04:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop"
04:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop"
05:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Kettle,Monitor"
05:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Kettle,Monitor,Microwave"
06:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Monitor,Laptop,Kettle"
06:30:00,"Modem,Fridge,Router,Speakers,Server,Laptop,Monitor,Server_hdd,Kettle,Laptop2"
07:00:00,"Modem,Fridge,Router,Speakers,Laptop,Monitor,Server,Server_hdd,Kettle,Laptop2"
07:30:00,"Modem,Fridge,Laptop,Monitor,Router,Speakers,Server,Server_hdd,Kettle,Laptop2"
08:00:00,"Modem,Fridge,Laptop,Monitor,Speakers,Router,Server,Server_hdd,Laptop2,Kettle"
08:30:00,"Modem,Fridge,Laptop,Monitor,Speakers,Router,Server,Server_hdd,Laptop2,Kettle"
09:00:00,"Modem,Fridge,Laptop,Monitor,Speakers,Router,Server,Server_hdd,Laptop2,Kettle"
09:30:00,"Modem,Fridge,Monitor,Laptop,Speakers,Router,Server,Server_hdd,Laptop2,Kettle"
10:00:00,"Modem,Laptop,Monitor,Fridge,Speakers,Router,Server,Server_hdd,Laptop2,Kettle"
10:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
11:00:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
11:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Microwave"
12:00:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
12:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
13:00:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
13:30:00,"Modem,Laptop,Speakers,Monitor,Fridge,Router,Server,Laptop2,Server_hdd,Kettle"
14:00:00,"Modem,Laptop,Speakers,Monitor,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
14:30:00,"Modem,Laptop,Speakers,Monitor,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
15:00:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
15:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
16:00:00,"Modem,Laptop,Speakers,Monitor,Fridge,Router,Server,Laptop2,Server_hdd,Kettle"
16:30:00,"Laptop,Modem,Speakers,Monitor,Fridge,Router,Server,Laptop2,Server_hdd,Cooker"
17:00:00,"Laptop,Modem,Speakers,Monitor,Fridge,Router,Kettle,Server,Laptop2,Cooker"
17:30:00,"Laptop,Modem,Speakers,Monitor,Fridge,Router,Laptop2,Server,Kettle,Server_hdd"
18:00:00,"Laptop,Modem,Speakers,Monitor,Fridge,Router,Laptop2,Server,Server_hdd,Kettle"
18:30:00,"Laptop,Speakers,Monitor,Modem,Fridge,Router,Laptop2,Server,Dish Washer,Server_hdd"
19:00:00,"Laptop,Monitor,Speakers,Modem,Fridge,Laptop2,Router,Dish Washer,Server,Server_hdd"
19:30:00,"Laptop,Monitor,Speakers,Modem,Fridge,Laptop2,Router,Dish Washer,Server,Kettle"
20:00:00,"Laptop,Monitor,Modem,Speakers,Fridge,Laptop2,Router,Server,Server_hdd,Kettle"
20:30:00,"Laptop,Monitor,Modem,Speakers,Fridge,Laptop2,Router,Server,Server_hdd,Kettle"
21:00:00,"Laptop,Monitor,Modem,Speakers,Fridge,Router,Laptop2,Server,Server_hdd,Kettle"
21:30:00,"Laptop,Monitor,Modem,Speakers,Fridge,Router,Server,Laptop2,Server_hdd,Kettle"
22:00:00,"Modem,Monitor,Laptop,Fridge,Speakers,Router,Server,Server_hdd,Laptop2,Dish Washer"
22:30:00,"Modem,Laptop,Fridge,Monitor,Speakers,Router,Server,Server_hdd,Laptop2"
23:00:00,"Modem,Fridge,Laptop,Monitor,Speakers,Router,Server,Server_hdd,Dish Washer"
23:30:00,"Modem,Fridge,Laptop,Router,Speakers,Monitor,Server,Server_hdd"
