,Appliance,Accuracy,Precision,Recall,F1
0,Laptop,0.590618108007885,0.7071741410153599,0.5537985894174101,0.6211586219352508
1,Monitor,0.4094306848566466,0.25617993850325643,0.2620551303960175,0.2590842311459354
2,Speakers,0.40410250404980774,0.28916048887998397,0.3606377130291369,0.32096788541944665
3,Server,0.6217674727247887,0.6853338411507924,0.7302967391474018,0.7071012400909853
4,Router,0.4668013349727736,0.5688164422395464,0.27428532371887976,0.37010479231753574
5,Server_hdd,0.521371274664793,0.9473723168023687,0.20935634252065102,0.3429298680420658
6,Kettle,0.9842886976208599,0.5580357142857143,0.6100867678958786,0.5829015544041452
7,Rice Cooker,0.9394285379706072,0.2798053527980535,0.03934987168520103,0.06899655017249137
8,Running Machine,0.4957062279212288,0.4872780280943546,0.07141885986209576,0.12457861123816302
9,Laptop2,0.4079766574936081,0.6282204724409449,0.15405171614816646,0.24742907471499634
10,Washing Machine,0.9668403692643988,0.15254237288135594,0.07449743791880173,0.10010593220338983
11,Dish Washer,0.9769697679411363,0.3230071779372875,0.600843288826423,0.4201474201474202
12,Fridge,0.46381521166344636,0.3213010488730194,0.4835838441514821,0.3860825260617437
13,Microwave,0.9497043152409391,0.20703384207033843,0.07305080777335518,0.10799584631360332
14,Toaster,0.9187110876905361,0.02911418542225893,0.037410453701247015,0.03274500696702276
15,Playstation,0.6068368561781525,0.6829054976754177,0.694012162794324,0.6884140352505356
16,Modem,0.01336924488162851,0.0,0.0,0.0
17,Cooker,0.9828737045494467,0.0,0.0,0.0
