,Appliance,Accuracy,Precision,Recall,F1
0,Laptop,0.765455433,0.706822675,0.693080119,0.698987823
1,Monitor,0.778402558,0.7119843,0.696354681,0.703113216
2,Speakers,0.658381767,0.654330512,0.578262296,0.557347697
3,Server,1,1,1,1
4,Router,0.967443179,0.499951162,0.483767308,0.491726109
5,Server_hdd,0.75109074,0.501315984,0.765362591,0.431762496
6,Kettle,0.991211076,0.63265514,0.532104613,0.550676533
7,Rice Cooker,0.994881003,0.497440502,0.5,0.498716967
8,Running Machine,0.996975854,0.498487927,0.5,0.499242819
9,Laptop2,0.838790972,0.650056606,0.565253304,0.577455105
10,Washing Machine,0.997542881,0.498771441,0.5,0.499384965
11,Dish Washer,0.984706012,0.492353006,0.5,0.496147039
12,Fridge,0.692513664,0.684513421,0.605959765,0.600095638
13,Microwave,0.995495283,0.497747641,0.5,0.498871278
14,Toaster,0.999732237,0.499866119,0.5,0.49993305
15,Playstation,0.999716486,0.499858243,0.5,0.499929112
16,Modem,0.491833231,0.351718328,0.343885446,0.347699853
17,Cooker,0.982831672,0.491415836,0.5,0.495670755
