,Appliance,Accuracy,Precision,Recall,F1
0,Laptop,0.407596073,0.290049966,0.350155145,0.31728109
1,Monitor,0.452768507,0.252064015,0.292476683,0.270770751
2,Speakers,0.41589086,0.288639551,0.371691006,0.324942482
3,Server,0.379559693,0.285954941,0.568214234,0.380448446
4,Router,0.56571423,0.348051028,0.273387703,0.306234119
5,Server_hdd,0.503591155,0.950777202,0.203730432,0.335558197
6,Kettle,0.987196752,0.538690476,0.739782016,0.623421355
7,Rice Cooker,0.928147628,0.271289538,0.031916416,0.057113587
8,Running Machine,0.606817339,0.349721707,0.06940536,0.115824354
9,Laptop2,0.423219548,0.617952756,0.156085919,0.249221975
10,Washing Machine,0.966401233,0.166263115,0.078746177,0.106874189
11,Dish Washer,0.979653375,0.420476011,0.668870192,0.516353514
12,Fridge,0.48344946,0.345012274,0.511567627,0.412097249
13,Microwave,0.965113102,0.201725282,0.113602392,0.145350227
14,Toaster,0.921014111,0.023539129,0.032768037,0.02739726
15,Playstation,0.398442532,0.33337425,0.544195366,0.413461721
16,Modem,0.583533384,0.587494066,0.983915586,0.735701944
17,Cooker,0.38464391,0.492307692,0.013707541,0.026672429
