,Time,Recommendations
0,00:00:00,"kettle,monitor,speakers,laptop2,router,fridge,laptop,server,server_hdd,modem"
1,00:30:00,"kettle,monitor,speakers,laptop2,fridge,router,laptop,server,server_hdd,modem"
2,01:00:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,laptop,modem"
3,01:30:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,laptop,modem"
4,02:00:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,modem,laptop"
5,02:30:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,modem,laptop"
6,03:00:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,modem"
7,03:30:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,modem"
8,04:00:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,modem"
9,04:30:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,modem"
10,05:00:00,"monitor,kettle,speakers,laptop2,fridge,router,server,server_hdd,modem"
11,05:30:00,"monitor,kettle,speakers,laptop2,fridge,router,server,server_hdd,modem,laptop"
12,06:00:00,"kettle,monitor,speakers,laptop2,fridge,router,server,server_hdd,modem,laptop"
13,06:30:00,"kettle,monitor,speakers,laptop2,fridge,router,server,laptop,server_hdd,modem"
14,07:00:00,"kettle,monitor,speakers,laptop2,fridge,router,laptop,server,server_hdd,modem"
15,07:30:00,"kettle,speakers,monitor,laptop2,laptop,fridge,router,server,server_hdd,modem"
16,08:00:00,"kettle,speakers,monitor,laptop2,laptop,router,fridge,server,server_hdd,modem"
17,08:30:00,"kettle,speakers,monitor,laptop2,laptop,fridge,router,server,server_hdd,modem"
18,09:00:00,"kettle,speakers,monitor,laptop2,laptop,fridge,router,server,server_hdd,modem"
19,09:30:00,"kettle,speakers,laptop2,monitor,laptop,fridge,router,server,server_hdd,modem"
20,10:00:00,"kettle,laptop2,speakers,monitor,laptop,fridge,router,server,server_hdd,modem"
21,10:30:00,"kettle,laptop2,speakers,monitor,laptop,fridge,router,server,server_hdd,modem,microwave"
22,11:00:00,"kettle,laptop2,speakers,monitor,laptop,fridge,router,server,server_hdd,modem,microwave"
23,11:30:00,"kettle,laptop2,speakers,monitor,laptop,fridge,router,server,server_hdd,modem,microwave"
24,12:00:00,"kettle,laptop2,speakers,monitor,laptop,router,fridge,server,server_hdd,modem"
25,12:30:00,"kettle,laptop2,speakers,monitor,laptop,fridge,router,server,server_hdd,modem,microwave"
26,13:00:00,"kettle,laptop2,speakers,monitor,laptop,fridge,router,server,server_hdd,modem"
27,13:30:00,"kettle,laptop2,speakers,monitor,laptop,router,fridge,server,server_hdd,modem"
28,14:00:00,"kettle,laptop2,monitor,speakers,laptop,router,fridge,server,server_hdd,modem"
29,14:30:00,"kettle,laptop2,monitor,speakers,laptop,fridge,router,server,server_hdd,modem"
30,15:00:00,"kettle,laptop2,speakers,monitor,laptop,fridge,router,server,server_hdd,modem"
31,15:30:00,"kettle,laptop2,speakers,monitor,laptop,fridge,router,server,server_hdd,modem"
32,16:00:00,"kettle,laptop2,monitor,speakers,laptop,router,fridge,server,server_hdd,modem,rice_cooker,running_machine"
33,16:30:00,"kettle,laptop2,laptop,monitor,speakers,fridge,router,server,server_hdd,cooker,modem,rice_cooker"
34,17:00:00,"kettle,laptop2,laptop,monitor,speakers,router,fridge,server,cooker,server_hdd,modem,rice_cooker"
35,17:30:00,"kettle,laptop2,monitor,laptop,speakers,router,fridge,server,server_hdd,cooker,modem,microwave"
36,18:00:00,"kettle,laptop2,laptop,monitor,speakers,router,fridge,server,server_hdd,modem,cooker,microwave"
37,18:30:00,"kettle,laptop,laptop2,monitor,speakers,router,fridge,server,dish_washer,server_hdd,modem"
38,19:00:00,"kettle,laptop,laptop2,speakers,monitor,router,dish_washer,fridge,server,server_hdd,modem"
39,19:30:00,"kettle,laptop,speakers,monitor,laptop2,fridge,router,dish_washer,server,server_hdd,modem"
40,20:00:00,"kettle,laptop,speakers,monitor,laptop2,router,fridge,server,server_hdd,modem,dish_washer"
41,20:30:00,"kettle,laptop,speakers,laptop2,monitor,fridge,router,server,server_hdd,modem"
42,21:00:00,"kettle,laptop,laptop2,speakers,monitor,router,fridge,server,server_hdd,modem"
43,21:30:00,"kettle,laptop2,laptop,speakers,monitor,router,fridge,server,server_hdd,modem"
44,22:00:00,"kettle,laptop2,speakers,monitor,laptop,router,fridge,server,server_hdd,modem"
45,22:30:00,"kettle,laptop2,speakers,monitor,laptop,router,fridge,server,server_hdd,modem"
46,23:00:00,"kettle,speakers,laptop2,monitor,laptop,router,fridge,server,server_hdd,modem"
47,23:30:00,"kettle,monitor,speakers,laptop2,fridge,laptop,router,server,server_hdd,modem"
