,Time,Recommendations
0,00:00:00,"Kettle,Monitor,Speakers,Laptop2,Router,Fridge,Laptop,Server,Server_hdd,Modem"
1,00:30:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Laptop,Server,Server_hdd,Modem"
2,01:00:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Laptop,Modem"
3,01:30:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Laptop,Modem"
4,02:00:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem,Laptop"
5,02:30:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem,Laptop"
6,03:00:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem,Laptop"
7,03:30:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem,Laptop"
8,04:00:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem"
9,04:30:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem"
10,05:00:00,"Monitor,Kettle,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem,Laptop"
11,05:30:00,"Monitor,Kettle,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem,Laptop"
12,06:00:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Server_hdd,Modem,Laptop"
13,06:30:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Server,Laptop,Server_hdd,Modem"
14,07:00:00,"Kettle,Monitor,Speakers,Laptop2,Fridge,Router,Laptop,Server,Server_hdd,Modem"
15,07:30:00,"Kettle,Speakers,Monitor,Laptop2,Laptop,Fridge,Router,Server,Server_hdd,Modem,Microwave"
16,08:00:00,"Kettle,Speakers,Monitor,Laptop2,Laptop,Router,Fridge,Server,Server_hdd,Modem,Washing Machine"
17,08:30:00,"Kettle,Speakers,Monitor,Laptop2,Laptop,Fridge,Router,Server,Server_hdd,Modem,Washing Machine"
18,09:00:00,"Kettle,Speakers,Monitor,Laptop2,Laptop,Fridge,Router,Server,Server_hdd,Modem,Washing Machine"
19,09:30:00,"Kettle,Speakers,Laptop2,Monitor,Laptop,Router,Fridge,Server,Server_hdd,Modem,Washing Machine"
20,10:00:00,"Kettle,Laptop2,Speakers,Monitor,Laptop,Fridge,Router,Server,Server_hdd,Modem,Washing Machine"
21,10:30:00,"Kettle,Laptop2,Speakers,Monitor,Laptop,Fridge,Router,Server,Server_hdd,Modem,Microwave"
22,11:00:00,"Kettle,Laptop2,Speakers,Monitor,Laptop,Fridge,Router,Server,Server_hdd,Modem,Microwave,Washing Machine"
23,11:30:00,"Kettle,Laptop2,Speakers,Monitor,Laptop,Fridge,Router,Server,Server_hdd,Modem,Microwave,Washing Machine"
24,12:00:00,"Kettle,Laptop2,Speakers,Monitor,Laptop,Router,Fridge,Server,Server_hdd,Modem,Microwave,Washing Machine"
25,12:30:00,"Kettle,Laptop2,Speakers,Monitor,Laptop,Fridge,Router,Server,Server_hdd,Modem,Microwave,Washing Machine"
26,13:00:00,"Kettle,Laptop2,Speakers,Monitor,Laptop,Fridge,Router,Server,Server_hdd,Modem"
27,13:30:00,"Kettle,Laptop2,Monitor,Speakers,Laptop,Router,Fridge,Server,Server_hdd,Modem"
28,14:00:00,"Kettle,Laptop2,Monitor,Speakers,Laptop,Router,Fridge,Server,Server_hdd,Modem"
29,14:30:00,"Kettle,Laptop2,Monitor,Speakers,Laptop,Fridge,Router,Server,Server_hdd,Modem"
