,Appliance,Average
0,Bedroom Stereo Speakers,1.007076884139926
1,Desktop,80.66480520769707
2,Hairdryer,0.6608024432206929
3,Primary TV,2.5429112251604877
4,Bedroom TV,1.879087142343797
5,Treadmill,5.2145248511481155
6,Network Storage,18.313804579576036
7,Core 2 Server,65.72683510256505
8,Secondary TV,18.58146373184755
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,0.41016638191194577
12,PC,23.757273895211064
13,Toaster,0.16454726127483194
14,Home Theatre Amp,27.692237038052834
15,Sky HD Box,14.675507388812148
16,Kettle,13.783569945271719
17,Freezer,34.22658839054444
18,Oven,5.632319091951951
19,Electric Hob,7.438218803446136
20,Dish Washer,10.585340569595896
21,Microwave,43.11708151110535
22,Washer & Dryer,53.522624872033965
23,Vacuum Cleaner,0.0
